描述		級		腔		詞/句		腔		單元		號（句s）
初四1詞	/hakka/files/cert/vocabulary/110/	1	/	si	/	w	/	si	-	01	-	001.mp3
初四1句	/hakka/files/cert/vocabulary/110/	1	/	si	/	s	/	si	-	01	-	001s.mp3
初海1詞	/hakka/files/cert/vocabulary/110/	1	/	ha	/	w	/	ha	-	01	-	001.mp3
初大1詞	/hakka/files/cert/vocabulary/110/	1	/	da	/	w	/	da	-	01	-	001.mp3
初平1詞	/hakka/files/cert/vocabulary/110/	1	/	rh	/	w	/	rh	-	01	-	001.mp3
初安1詞	/hakka/files/cert/vocabulary/110/	1	/	zh	/	w	/	zh	-	01	-	001.mp3
中四1詞	/hakka/files/cert/vocabulary/110/	2	/	si	/	w	/	1si	-	01	-	002.mp3
中四1句	/hakka/files/cert/vocabulary/110/	2	/	si	/	s	/	1si	-	01	-	002s.mp3
中安12詞	/hakka/files/cert/vocabulary/110/	2	/	zh	/	w	/	1zh	-	12	-	016.mp3
中高饒2詞	/hakka/files/cert/vocabulary/110/	3	/	rh	/	w	/	2rh	-	02	-	001.mp3
中高四8詞	/hakka/files/cert/vocabulary/110/	3	/	si	/	w	/	2si	-	08	-	004.mp3
高海1詞	/hakka/files/cert/vocabulary/110/	4	/	ha	/	w	/	3ha	-	11	-	001.mp3